Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
Alan Jouban,-215.0,-250.0,-250.0,-0.047,2018-02-24
Alan Jouban,-155.0,100.0,110.0,-0.203,2019-04-13
Alan Jouban,-145.0,-161.0,-155.0,-0.037,2020-11-21
Alan Omer,190.0,200.0,210.0,0.049,2014-04-11
Alan Omer,-210.0,-175.0,-165.0,-0.048,2015-06-20
Alan Patrick,-305.0,-260.0,-255.0,0.043,2013-10-09
Alan Patrick,150.0,110.0,115.0,-0.174,2014-02-01
Alan Patrick,100.0,140.0,155.0,0.1939999999999999,2015-06-20
Alan Patrick,-300.0,-300.0,-285.0,0.006,2016-03-19
Alan Patrick,200.0,145.0,145.0,-0.2239999999999999,2016-09-24
Alan Patrick,-215.0,-250.0,-240.0,-0.04,2018-02-03
Alan Patrick,-245.0,-333.0,-315.0,0.2319999999999999,2018-10-06
Alan Patrick,145.0,250.0,280.0,0.332,2020-09-12
Alan Patrick,210.0,230.0,310.0,0.146,2021-06-05
Alan Patrick,110.0,120.0,143.0,0.079,2022-05-14
Alatengheili Alateng,265.0,385.0,410.0,0.267,2025-04-27
Albert Cheng,100.0,125.0,125.0,0.0,2014-03-01
Albert Duraev,-180.0,-450.0,-345.0,-0.238,2021-10-30
Albert Duraev,-160.0,-235.0,-200.0,0.149,2022-06-18
Albert Duraev,140.0,140.0,140.0,,2022-12-17
Albert Duraev,-170.0,120.0,155.0,-0.515,2023-03-25
Albert Duraev,105.0,120.0,130.0,-0.048,2023-07-15
Albert Morales,-150.0,-110.0,-105.0,0.135,2016-09-17
Albert Morales,185.0,250.0,250.0,-0.033,2016-11-19
Albert Morales,-105.0,-155.0,-150.0,-0.181,2017-03-04
Albert Morales,190.0,290.0,290.0,0.256,2017-07-16
Albert Morales,-120.0,104.0,105.0,-0.019,2017-12-09
Albert Morales,175.0,155.0,155.0,0.098,2018-02-24
Albert Tumenov,-180.0,-240.0,-215.0,0.181,2014-02-15
Albert Tumenov,-230.0,-275.0,-265.0,0.206,2014-05-10
Albert Tumenov,-350.0,-450.0,-440.0,0.255,2014-10-04
Albert Tumenov,-135.0,-155.0,-150.0,-0.053,2015-01-24
Albert Tumenov,-230.0,-270.0,-260.0,0.1689999999999999,2015-10-03
Albert Tumenov,-245.0,-250.0,-235.0,0.098,2016-01-02
Albert Tumenov,-140.0,-155.0,-152.0,0.145,2016-05-08
Albert Tumenov,-260.0,-170.0,-170.0,-0.129,2016-10-08
Alberto Crane,325.0,315.0,315.0,-0.024,2007-08-25
Alberto Crane,325.0,300.0,300.0,-0.063,2008-01-23
Alberto Mina,-185.0,-225.0,-225.0,-0.067,2014-08-23
Alberto Mina,160.0,125.0,129.0,-0.145,2015-11-28
Alberto Mina,-180.0,105.0,105.0,0.241,2016-07-07
Alberto Mina,160.0,150.0,156.0,-0.0279999999999999,2018-05-12
Alberto Pereira,-150.0,-130.0,-120.0,-0.024,2016-05-29
Alberto Uda,150.0,145.0,146.0,0.047,2016-08-20
Alden Coria,280.0,265.0,300.0,0.018,2025-09-13
Alejandro Perez,210.0,210.0,215.0,0.008,2014-11-15
Alejandro Perez,-150.0,-170.0,-160.0,0.153,2015-06-13
Alejandro Perez,157.0,110.0,115.0,0.144,2015-11-21
Alejandro Perez,-120.0,130.0,130.0,-0.1,2016-04-10
Alejandro Perez,110.0,-115.0,-110.0,0.135,2016-09-17
Alejandro Perez,-140.0,-165.0,-165.0,0.184,2017-08-05
Alejandro Perez,160.0,155.0,160.0,0.051,2017-12-09
Alejandro Perez,-150.0,-115.0,-110.0,-0.09,2018-04-14
Alejandro Perez,-215.0,-175.0,-172.0,-0.0559999999999999,2018-07-14
Alejandro Perez,115.0,150.0,160.0,-0.051,2019-03-02
Alejandro Perez,145.0,169.0,185.0,0.1119999999999999,2019-07-06
Alejandro Perez,-200.0,-300.0,-250.0,-0.092,2021-10-02
Alejandro Perez,180.0,185.0,263.0,-0.109,2022-02-26
Aleksa Camur,140.0,-132.0,-125.0,-0.352,2020-01-18
Aleksa Camur,-130.0,-175.0,-140.0,-0.07,2020-09-26
Aleksa Camur,-275.0,-290.0,-240.0,0.018,2021-06-19
Aleksa Camur,,,,,2023-07-15
Aleksa Camur,150.0,108.0,130.0,-0.142,2023-08-06
Aleksandar Rakic,-140.0,-145.0,-140.0,0.103,2017-09-02
Aleksandar Rakic,145.0,-115.0,100.0,0.183,2018-07-22
Aleksandar Rakic,-400.0,-625.0,-550.0,0.266,2018-12-08
Aleksandar Rakic,-285.0,-260.0,-227.0,0.0069999999999999,2019-06-01
Aleksandar Rakic,-145.0,-152.0,-143.0,0.04,2019-12-21
Aleksandar Rakic,-235.0,-250.0,-240.0,-0.01,2020-08-29
Aleksandar Rakic,-265.0,-200.0,-185.0,-0.1,2021-03-06
Aleksandar Rakic,-150.0,-220.0,-189.0,0.145,2022-05-14
Aleksandar Rakic,-170.0,-130.0,-104.0,-0.228,2024-04-14
Aleksandar Rakic,115.0,-127.0,-110.0,-0.173,2025-10-25
Aleksandar Rakir,195.0,260.0,300.0,-0.096,2024-10-26
Aleksandra Albu,-125.0,-225.0,-220.0,-0.243,2015-04-11
Aleksandre Topuria,-450.0,-375.0,-330.0,-0.075,2025-02-09
Aleksei Kunchenko,-180.0,-140.0,-135.0,-0.1159999999999999,2019-08-10
Aleksei Kunchenko,135.0,-111.0,110.0,0.143,2020-03-14
Aleksei Oleinik,-155.0,-140.0,-130.0,0.055,2017-01-15
Aleksei Oleinik,220.0,250.0,270.0,0.111,2017-11-04
Aleksei Oleinik,165.0,-106.0,100.0,-0.345,2018-09-15
Aleksei Oleinik,175.0,195.0,205.0,0.083,2019-04-20
Aleksei Oleinik,-105.0,130.0,137.0,0.158,2019-07-20
Aleksei Oleinik,-180.0,-110.0,103.0,0.215,2020-01-18
Aleksei Oleinik,170.0,225.0,280.0,0.25,2020-05-09
Aleksei Oleinik,170.0,169.0,175.0,0.004,2020-08-08
Aleksei Oleinik,120.0,150.0,170.0,0.1669999999999999,2021-02-20
Aleksei Oleinik,130.0,160.0,190.0,0.1669999999999999,2022-03-26
Aleksei Oleinik,-135.0,100.0,135.0,0.198,2022-04-09
Aleksei Oliynyk,140.0,235.0,245.0,-0.149,2017-07-08
Aleksei Oliynyk,-120.0,117.0,135.0,-0.073,2018-05-12
Aleksei Oliynyk,210.0,200.0,240.0,-0.0279999999999999,2021-06-19
Aleksei Oliynyk,170.0,143.0,180.0,0.012,2022-10-01
Alen Amedovski,-110.0,160.0,200.0,-0.213,2019-04-20
